Array Size,1000,7
Array Size,2000,7
Array Size,3000,18
Array Size,4000,13
Array Size,5000,21
Array Size,6000,32
Array Size,7000,40
Array Size,8000,56
Array Size,9000,72
Hello World
Hello World
